Value of y(x) with respect to x:

	x	y(x)

	0.0	1.01130026701
	0.025	1.03721637749
	0.05	1.06439969559
	0.075	1.09285806541
	0.1	1.12260414116
	0.125	1.15365546558
	0.15	1.18603457945
	0.175	1.21976916291
	0.2	1.25489220996
	0.225	1.29144223765
	0.25	1.32946353181
	0.275	1.36900643161
	0.3	1.41012765529
	0.325	1.45289067033
	0.35	1.49736611117
	0.375	1.54363224845
	0.4	1.59177551419
	0.425	1.64189108772
	0.45	1.69408354797
	0.475	1.7484675984
	0.5	1.80516887155
	0.525	1.86432482107
	0.55	1.92608571012
	0.575	1.99061570597
	0.6	2.05809409195
	0.625	2.12871660909
	0.65	2.20269694151
	0.675	2.28026836109
	0.7	2.36168554886
	0.725	2.44722661297
	0.75	2.53719532505
	0.775	2.63192359978
	0.8	2.7317742456
	0.825	2.83714401759
	0.85	2.94846700781
	0.875	3.06621841269
	0.9	3.19091872183
	0.925	3.32313837861
	0.95	3.46350296908
	0.975	3.61269900309
	1.0	3.77148035975
